address,is_erc20,is_erc721,block_timestamp,block_number,block_hash
0x88d82af81f36aff81ecdabc62d6e80b2920b7e98,false,false,2021-03-07 16:40:21 UTC,11992474,0x7722c0f4745d4d7a57993f2d3007fc1b0c01815ad427bb3a13633c991f29e473
0x33912d303325fce6662c3c2e386b221c27715f84,false,false,2021-03-07 16:40:21 UTC,11992474,0x7722c0f4745d4d7a57993f2d3007fc1b0c01815ad427bb3a13633c991f29e473
0xb3b65890347def2b48fefaf38317a01da1200f11,false,false,2021-03-07 16:40:21 UTC,11992474,0x7722c0f4745d4d7a57993f2d3007fc1b0c01815ad427bb3a13633c991f29e473
0xb12c8be26ca49de6271f6da697d0612cbdf9b752,false,false,2021-03-07 16:40:21 UTC,11992474,0x7722c0f4745d4d7a57993f2d3007fc1b0c01815ad427bb3a13633c991f29e473
0xbf0d5c053b21546b1314ba9872c0397623dff3f9,false,false,2021-03-07 16:40:21 UTC,11992474,0x7722c0f4745d4d7a57993f2d3007fc1b0c01815ad427bb3a13633c991f29e473
0xeac7d07581264c5524ce11477f3006b5b91b6548,false,false,2021-03-07 16:39:20 UTC,11992470,0xd90e9f2692c3ac76ae87ad87c7848ef50fa3c13c9866a9fa8cc7024557bf0a13
0x945f3c2a09045b1fa8a7d62bcf1834791d0609cf,false,false,2021-03-07 16:39:20 UTC,11992470,0xd90e9f2692c3ac76ae87ad87c7848ef50fa3c13c9866a9fa8cc7024557bf0a13
0x19fcc42e07865d3ee4e610536df41145688c8f88,false,false,2021-03-07 16:39:20 UTC,11992470,0xd90e9f2692c3ac76ae87ad87c7848ef50fa3c13c9866a9fa8cc7024557bf0a13
0x0854dfc970d66366c9bb746478449387035fe19e,false,false,2021-03-07 16:39:20 UTC,11992470,0xd90e9f2692c3ac76ae87ad87c7848ef50fa3c13c9866a9fa8cc7024557bf0a13
0x4e11d48596c282688aa6d53a4f053500a28c3d62,false,false,2021-03-07 16:38:44 UTC,11992468,0xa57ed3f51d495aaedef9ecda37318cf24a84c9c94bef3f9e57529f4a08943a2c
0xded6ead155297c4da2e42a499951cf49f90f8d3d,false,false,2021-03-07 16:38:09 UTC,11992466,0x20c6a218f8076f3f13e0b0a8750a92d3b8d3f04219352ade7db6c1db1842bd4e
